File,Address,Hop,IP,Average Time
2024-03-28_07.txt,www.harvard.edu,1,139.222.0.1,1.37
2024-03-28_07.txt,www.harvard.edu,2,10.0.0.1,6.64
2024-03-28_07.txt,www.harvard.edu,3,193.62.92.125,0.66
2024-03-28_07.txt,www.harvard.edu,4,10.11.1.0,0.92
2024-03-28_07.txt,www.harvard.edu,5,146.97.130.237,6.49
2024-03-28_07.txt,www.harvard.edu,6,146.97.35.217,5.46
2024-03-28_07.txt,www.harvard.edu,7,146.97.33.61,5.44
2024-03-28_07.txt,www.harvard.edu,8,146.97.35.18,5.44
2024-03-28_07.txt,www.cuhk.edu.hk,1,139.222.0.1,1.93
2024-03-28_07.txt,www.cuhk.edu.hk,2,10.0.0.1,15.54
2024-03-28_07.txt,www.cuhk.edu.hk,3,193.62.92.125,1.05
2024-03-28_07.txt,www.cuhk.edu.hk,4,10.11.1.0,1.31
2024-03-28_07.txt,www.cuhk.edu.hk,5,146.97.130.237,5.81
2024-03-28_07.txt,www.cuhk.edu.hk,6,146.97.35.217,6.03
2024-03-28_07.txt,www.cuhk.edu.hk,7,146.97.33.61,6.83
2024-03-28_07.txt,www.cuhk.edu.hk,8,146.97.35.194,5.54
2024-03-28_07.txt,www.cuhk.edu.hk,9,104.44.37.109,6.3
2024-03-28_07.txt,www.cuhk.edu.hk,10,104.44.230.146,7.65
2024-03-28_07.txt,www.cuhk.edu.hk,11,104.44.32.10,306.43
2024-03-28_07.txt,www.cuhk.edu.hk,12,104.44.17.133,302.11
2024-03-28_07.txt,www.cuhk.edu.hk,13,104.44.29.155,263.34
2024-03-28_07.txt,www.cuhk.edu.hk,14,104.44.17.152,380.13
2024-03-28_07.txt,www.cuhk.edu.hk,15,104.44.17.201,304.55
2024-03-28_07.txt,www.cuhk.edu.hk,16,104.44.19.125,258.04
2024-03-28_07.txt,www.cuhk.edu.hk,17,104.44.19.108,201.93
2024-03-28_07.txt,www.cuhk.edu.hk,18,104.44.28.249,294.78
2024-03-28_07.txt,www.cuhk.edu.hk,19,104.44.16.226,304.23
2024-03-28_07.txt,www.cuhk.edu.hk,20,104.44.16.86,295.27
2024-03-28_07.txt,www.cuhk.edu.hk,21,104.44.16.217,246.63
2024-03-28_07.txt,www.cuhk.edu.hk,22,104.44.16.253,305.52
2024-03-28_07.txt,www.cuhk.edu.hk,23,104.44.11.120,239.19
2024-03-28_07.txt,www.cuhk.edu.hk,24,104.44.11.124,243.31
2024-03-28_07.txt,www.unimelb.edu.au,1,139.222.0.1,2.59
2024-03-28_07.txt,www.unimelb.edu.au,2,10.0.0.1,15.89
2024-03-28_07.txt,www.unimelb.edu.au,3,193.62.92.125,2.15
2024-03-28_07.txt,www.unimelb.edu.au,4,10.11.1.0,2.03
2024-03-28_07.txt,www.unimelb.edu.au,5,146.97.130.237,6.46
2024-03-28_07.txt,www.unimelb.edu.au,6,146.97.35.217,6.12
2024-03-28_07.txt,www.unimelb.edu.au,7,146.97.33.5,6.0
2024-03-28_07.txt,www.unimelb.edu.au,8,146.97.33.22,10.88
2024-03-28_07.txt,www.unimelb.edu.au,9,146.97.33.42,12.12
2024-03-28_07.txt,www.unimelb.edu.au,10,146.97.35.190,12.21
2024-03-28_07.txt,www.unimelb.edu.au,11,162.158.32.34,12.47
2024-03-28_07.txt,www.unimelb.edu.au,12,162.158.32.45,19.12
2024-03-28_07.txt,www.unimelb.edu.au,13,104.18.16.217,13.02
2024-03-28_07.txt,www5.usp.br,1,139.222.0.1,1.76
2024-03-28_07.txt,www5.usp.br,2,10.0.0.1,7.57
2024-03-28_07.txt,www5.usp.br,3,193.62.92.125,1.01
2024-03-28_07.txt,www5.usp.br,4,10.11.1.0,1.28
2024-03-28_07.txt,www5.usp.br,5,146.97.130.237,5.6
2024-03-28_07.txt,www5.usp.br,6,146.97.35.217,5.63
2024-03-28_07.txt,www5.usp.br,7,146.97.33.5,6.51
2024-03-28_07.txt,www5.usp.br,8,146.97.33.1,6.64
2024-03-28_07.txt,www5.usp.br,9,62.40.124.197,6.75
2024-03-28_07.txt,www5.usp.br,10,62.40.98.65,39.19
2024-03-28_07.txt,www5.usp.br,11,62.40.98.107,39.08
2024-03-28_07.txt,www5.usp.br,12,62.40.98.222,39.71
2024-03-28_07.txt,www5.usp.br,13,62.40.98.221,35.77
2024-03-28_07.txt,www5.usp.br,14,62.40.98.92,38.96
